a.accountNumber,a.pagerank,a.degree,a.in_degree,a.out_degree,a.betweenness,a.community_id,a.community_size,a.triangle_count,a.cycle_count,a.intermediate_accounts,a.is_fraud,a.fraud_score,fraud_score,predicted_fraud_score
ACC00008,0.668038829505315,4.0,3.0,4.0,604.9746753246753,96,27,3,3,1,1,0.6442979574346522,0.7030434092226931,0.7030434092226931
ACC00077,0.4182656320125285,6.0,3.0,6.0,305.3471944721944,96,27,4,1,1,1,0.6083407399177869,0.6295257906762605,0.6295257906762605
ACC00012,0.5457135131059999,6.0,2.0,6.0,331.2112304362305,67,33,1,1,1,1,0.5950062492188476,0.5152865201804305,0.5152865201804305
ACC00064,1.8084198014411197,1.0,5.0,1.0,373.8190836940838,67,33,3,1,1,0,0.594138893517747,0.8287305182327706,0.8287305182327706
ACC00044,0.9702332150627035,4.0,4.0,4.0,751.0159354534355,67,33,2,2,1,0,0.5800124984376953,0.6287379218580952,0.6287379218580952
ACC00039,0.5993837880000987,6.0,2.0,6.0,322.714393939394,58,2,2,0,1,0,0.5650062492188477,0.49956262941813817,0.49956262941813817
ACC00071,0.3176938428884913,5.0,1.0,5.0,201.43482073482073,67,33,1,0,1,0,0.5641722212964505,0.43200163012092374,0.43200163012092374
ACC00002,1.9153581606743135,5.0,3.0,5.0,530.3405122655123,53,2,1,1,1,0,0.5625093738282715,0.6092459781202187,0.6092459781202187
ACC00068,0.7074925005451389,4.0,3.0,4.0,422.4770562770564,67,33,2,1,1,0,0.5542979574346523,0.6033152631653024,0.6033152631653024
ACC00007,1.161212460127529,5.0,1.0,5.0,241.42792207792212,96,27,0,0,1,0,0.5541722212964505,0.13591786603271264,0.13591786603271264
ACC00037,0.7778160275764472,4.0,5.0,4.0,390.2682567432568,67,33,2,1,1,0,0.5510987668036885,0.5823376203732538,0.5823376203732538
ACC00022,0.2591730648836253,4.0,1.0,4.0,82.66547619047618,21,3,1,0,1,0,0.5500079984003199,0.4487770667394603,0.4487770667394603
ACC00038,0.2912322035845908,2.0,1.0,2.0,81.49365079365081,58,2,1,1,1,0,0.5483555481506165,0.6007336951434861,0.6007336951434861
ACC00075,1.3006308721914257,4.0,3.0,4.0,653.7297813297813,96,27,1,1,1,0,0.5442979574346523,0.5324084667154552,0.5324084667154552
ACC00023,0.2644598893542763,4.0,2.0,4.0,71.78690476190475,67,33,3,0,1,0,0.5433444425929012,0.5174624692547021,0.5174624692547021
ACC00009,0.4077361746473206,3.0,2.0,3.0,448.6825396825397,96,27,1,1,1,0,0.5425159968006399,0.515731995882126,0.515731995882126
ACC00080,1.0212178670601175,5.0,3.0,5.0,547.7429556554556,2,27,3,0,1,0,0.5425093738282715,0.450383054124236,0.450383054124236
ACC00024,0.5787886861665528,1.0,2.0,1.0,11.833333333333332,67,33,1,1,1,0,0.5407889036987671,0.6144605764706242,0.6144605764706242
ACC00041,0.3578816068093819,5.0,2.0,5.0,194.6007936507936,67,33,1,0,1,0,0.5403653049564348,0.3899033057511244,0.3899033057511244
ACC00045,0.6592972286520992,5.0,2.0,5.0,373.44267676767674,67,33,1,0,1,0,0.5403653049564348,0.3624306781090476,0.3624306781090476
ACC00028,0.2625441294354332,4.0,1.0,4.0,188.86334776334775,96,27,0,0,1,0,0.5400079984003199,0.13424622279636267,0.13424622279636267
ACC00049,0.7736337757007449,4.0,1.0,4.0,275.55952380952374,2,27,0,0,1,0,0.5400079984003199,0.07541677514565885,0.07541677514565885
ACC00056,0.4971167515085801,4.0,1.0,4.0,258.0920634920634,75,2,0,0,1,0,0.5400079984003199,0.09644566585285536,0.09644566585285536
ACC00014,1.231768039139904,3.0,6.0,3.0,499.8534451659452,67,33,3,0,1,0,0.5358185201644261,0.4926270226571593,0.4926270226571593
ACC00072,0.8127515585156841,4.0,2.0,4.0,243.74940476190477,67,33,2,0,1,0,0.5333444425929011,0.4723832942523136,0.4723832942523136
ACC00099,0.3734053193876415,3.0,1.0,3.0,135.44920634920635,67,33,1,0,1,0,0.5325124968757811,0.415108432516936,0.415108432516936
ACC00005,2.068649577245496,1.0,7.0,1.0,241.0631535131535,67,33,0,0,1,0,0.5324781277340332,0.3442122280812608,0.3442122280812608
ACC00094,0.99736051810263,4.0,6.0,4.0,466.4208333333334,2,27,3,0,1,0,0.52998800119988,0.4160146836392493,0.4160146836392493
ACC00027,2.3384459953936196,1.0,6.0,1.0,233.25595238095235,53,2,0,0,1,0,0.5289040851306956,0.3898490214361431,0.3898490214361431
ACC00073,1.1908193380702243,2.0,4.0,2.0,361.87539682539665,21,3,3,0,1,0,0.5283111148141976,0.542956086374094,0.542956086374094
ACC00034,1.756133867109667,5.0,5.0,5.0,698.6645202020201,2,27,4,0,1,0,0.5275099990001,0.5196794010198094,0.5196794010198094
ACC00069,1.1981188911911915,3.0,6.0,3.0,379.1135628260628,67,33,2,0,1,0,0.5258185201644262,0.48445878969966744,0.48445878969966744
ACC00004,1.611819403271674,2.0,6.0,2.0,137.32599206349207,2,27,1,0,1,0,0.524981252343457,0.45699497102350817,0.45699497102350817
ACC00081,0.8689425091997581,3.0,3.0,3.0,521.4722721722723,67,33,1,1,1,0,0.5225166638893517,0.4927237739158442,0.4927237739158442
ACC00088,0.4293132726104272,3.0,3.0,3.0,176.60001665001664,96,27,1,1,1,0,0.5225166638893517,0.4957619450624114,0.4957619450624114
ACC00017,0.4582212989932913,3.0,1.0,3.0,220.28820346320347,96,27,0,0,1,0,0.522512496875781,0.09944077607120767,0.09944077607120767
ACC00016,1.5016874765034167,5.0,3.0,5.0,524.8078782328784,96,27,1,0,1,0,0.5225093738282715,0.40708169826132073,0.40708169826132073
ACC00061,2.6277531454841374,5.0,3.0,5.0,491.4103757353756,67,33,1,0,1,0,0.5225093738282715,0.5431866328823446,0.5431866328823446
ACC00063,1.070213445625677,5.0,5.0,5.0,509.8389971139971,2,27,3,0,1,0,0.5175099990001,0.42528248044359634,0.42528248044359634
ACC00093,0.6529009652461176,1.0,3.0,1.0,98.52420634920637,2,27,1,0,1,0,0.5174625093726568,0.4438789317901833,0.4438789317901833
ACC00098,0.8052179563353092,2.0,2.0,2.0,169.50277777777777,67,33,1,1,1,0,0.5150249937515621,0.5462905289674265,0.5462905289674265
ACC00047,2.078722532399025,2.0,6.0,2.0,363.6544094794095,67,33,0,0,1,0,0.514981252343457,0.20977189512786948,0.20977189512786948
ACC00033,1.7300475645504898,4.0,5.0,4.0,709.1733044733047,67,33,2,0,1,0,0.5110987668036885,0.5234314868254677,0.5234314868254677
ACC00053,1.5162052235235843,4.0,5.0,4.0,515.8819985569984,96,27,2,0,1,0,0.5110987668036885,0.5092124675281098,0.5092124675281098
ACC00091,1.2428748473436722,2.0,4.0,2.0,280.2663142413142,96,27,1,0,1,0,0.5083111148141976,0.4205945325839578,0.4205945325839578
ACC00092,0.5183134620096816,2.0,4.0,2.0,348.1138888888889,2,27,1,0,1,0,0.5083111148141976,0.37160716858796583,0.37160716858796583
ACC00059,2.532543695421437,2.0,5.0,2.0,355.8675324675325,96,27,0,0,1,0,0.507836737608913,0.2997580753851468,0.2997580753851468
ACC00083,1.7688248617412852,2.0,5.0,2.0,213.52757936507945,2,27,0,0,1,0,0.507836737608913,0.18261214539494844,0.18261214539494844
ACC00006,1.2328031705529652,3.0,5.0,3.0,735.7888888888888,2,27,1,0,1,0,0.507484376952881,0.36119434148816915,0.36119434148816915
ACC00015,2.245056683451258,3.0,5.0,3.0,472.3114413364414,2,27,1,0,1,0,0.507484376952881,0.5089272884171873,0.5089272884171873
ACC00030,2.055524034069376,3.0,5.0,3.0,696.1224206349206,2,27,1,0,1,0,0.507484376952881,0.47152181232155144,0.47152181232155144
ACC00019,0.8504021408625204,1.0,3.0,1.0,69.58391053391053,67,33,0,0,1,0,0.5074625093726568,0.17467912081443027,0.17467912081443027
ACC00036,0.7377263548734855,1.0,3.0,1.0,278.55952380952374,67,33,0,0,1,0,0.5074625093726568,0.16710981727520655,0.16710981727520655
ACC00086,1.121621429432898,4.0,3.0,4.0,485.86172438672435,96,27,1,0,1,0,0.5042979574346522,0.35973894729669953,0.35973894729669953
ACC00096,0.4302379723239245,3.0,2.0,3.0,202.77212232212227,96,27,1,0,1,0,0.50251599680064,0.37540697429263564,0.37540697429263564
ACC00097,0.3868006567884119,3.0,2.0,3.0,325.11194083694073,21,3,1,0,1,0,0.50251599680064,0.372811369595253,0.372811369595253
ACC00079,1.057205679615697,4.0,5.0,4.0,712.8291486291486,67,33,1,0,1,0,0.5010987668036885,0.30092548588106754,0.30092548588106754
ACC00090,0.6274009652461178,1.0,2.0,1.0,72.63347763347765,2,27,1,0,1,0,0.5007889036987672,0.46862245019951243,0.46862245019951243
ACC00000,0.209124023481889,2.0,1.0,2.0,65.1742784992785,50,3,0,0,1,0,0.4983555481506164,0.20243703111358713,0.20243703111358713
ACC00054,0.2651983088783741,2.0,1.0,2.0,260.31944444444446,96,27,0,0,1,0,0.4983555481506164,0.17246885057311945,0.17246885057311945
ACC00095,0.3627743063873294,2.0,1.0,2.0,92.57348484848484,2,27,0,0,1,0,0.4983555481506164,0.14626064236601755,0.14626064236601755
ACC00078,0.9494670018189448,2.0,4.0,2.0,429.1263888888889,2,27,0,0,1,0,0.4983111148141976,0.05974460912176634,0.05974460912176634
ACC00084,0.8637655299569226,2.0,4.0,2.0,183.42619047619044,2,27,0,0,1,0,0.4983111148141976,0.04686327070252956,0.04686327070252956
ACC00067,1.3448337256821892,3.0,5.0,3.0,362.8819805194804,2,27,0,0,1,0,0.4974843769528809,0.07313781734498646,0.07313781734498646
ACC00076,1.0536485491106813,3.0,5.0,3.0,492.4356088356088,67,33,0,0,1,0,0.4974843769528809,0.03257011068094764,0.03257011068094764
ACC00035,2.4449764694859466,3.0,4.0,3.0,714.7689393939393,96,27,1,0,1,0,0.4967693900871304,0.5534188247813293,0.5534188247813293
ACC00001,1.0404422340067043,2.0,3.0,2.0,168.00644355644351,96,27,1,0,1,0,0.4949760047990401,0.3908820337124364,0.3908820337124364
ACC00003,0.7139217368046566,2.0,3.0,2.0,175.2546092796093,2,27,1,0,1,0,0.4949760047990401,0.37781275304243483,0.37781275304243483
ACC00051,0.5460642285509331,2.0,3.0,2.0,176.3976190476191,2,27,1,0,1,0,0.4949760047990401,0.37223733028393935,0.37223733028393935
ACC00021,0.7943964752844749,4.0,3.0,4.0,558.931005106005,96,27,0,0,1,0,0.4942979574346521,0.0,0.0
ACC00040,1.4442113978839135,4.0,3.0,4.0,987.3628427128424,50,3,0,0,1,0,0.4942979574346521,0.09871092025696532,0.09871092025696532
ACC00029,0.477648781105472,3.0,3.0,3.0,131.19623015873017,2,27,2,0,1,0,0.4925166638893518,0.4725639093056764,0.4725639093056764
ACC00055,0.4460327985085065,3.0,2.0,3.0,298.82070707070704,67,33,0,0,1,0,0.4925159968006399,0.05722512451611716,0.05722512451611716
ACC00089,0.4120553546101448,3.0,2.0,3.0,238.1424603174603,2,27,0,0,1,0,0.4925159968006399,0.0627178497412775,0.0627178497412775
ACC00010,0.4185286290175767,1.0,2.0,1.0,18.39285714285714,2,27,0,0,1,0,0.4907889036987671,0.19123645981424647,0.19123645981424647
ACC00031,0.3108363867574263,1.0,2.0,1.0,21.96547619047619,75,2,0,0,1,0,0.4907889036987671,0.21369537321000265,0.21369537321000265
ACC00042,0.5109443181417853,1.0,2.0,1.0,177.51277056277056,96,27,0,0,1,0,0.4907889036987671,0.19083405431761677,0.19083405431761677
ACC00085,0.4805174596477604,1.0,2.0,1.0,84.45595238095241,2,27,0,0,1,0,0.4907889036987671,0.18875651793137024,0.18875651793137024
ACC00050,1.1217169407974603,4.0,4.0,4.0,499.3256313131313,67,33,1,0,1,0,0.4900124984376953,0.3410355585538183,0.3410355585538183
ACC00060,1.0845587248031907,4.0,4.0,4.0,397.16031746031734,67,33,1,0,1,0,0.4900124984376953,0.3252231163489368,0.3252231163489368
ACC00082,1.0950754941469338,3.0,4.0,3.0,592.6120351870348,96,27,0,0,1,0,0.4867693900871304,0.054118052981780275,0.054118052981780275
ACC00058,2.4000086799610965,2.0,3.0,2.0,449.6124819624819,96,27,0,0,1,0,0.4849760047990401,0.3054921943605686,0.3054921943605686
ACC00074,1.833665864436529,2.0,3.0,2.0,505.9819902319904,96,27,0,0,1,0,0.4849760047990401,0.2081540993710874,0.2081540993710874
ACC00025,0.6951406249687261,3.0,3.0,3.0,219.9130952380952,2,27,1,0,1,0,0.4825166638893518,0.3525686632576967,0.3525686632576967
ACC00011,0.8964439604100537,4.0,4.0,4.0,351.9897213897214,67,33,0,0,1,0,0.4800124984376953,0.010140370202466276,0.010140370202466276
ACC00018,0.9803544090091192,2.0,2.0,2.0,148.11626984126983,67,33,1,0,1,0,0.4750249937515621,0.4150287662531333,0.4150287662531333
ACC00043,0.5184350271617499,3.0,3.0,3.0,342.663924963925,67,33,0,0,1,0,0.4725166638893518,0.02149146544117728,0.02149146544117728
ACC00052,0.5354143158706989,3.0,3.0,3.0,296.6551587301587,67,33,0,0,1,0,0.4725166638893518,0.02258495113566557,0.02258495113566557
ACC00087,0.7546300701762503,3.0,3.0,3.0,340.5901515151515,67,33,0,0,1,0,0.4725166638893518,0.022735832622889862,0.022735832622889862
ACC00026,0.6612525211244884,2.0,2.0,2.0,176.26991341991345,2,27,0,0,1,0,0.4650249937515621,0.06114946752376781,0.06114946752376781
ACC00046,0.38795043794163,2.0,2.0,2.0,111.99285714285712,96,27,0,0,1,0,0.4650249937515621,0.09112766443070827,0.09112766443070827
ACC00048,0.3038819407492527,2.0,2.0,2.0,53.328571428571415,96,27,0,0,1,0,0.4650249937515621,0.10763878194013793,0.10763878194013793
ACC00070,0.4436176811336713,2.0,2.0,2.0,88.00793650793652,96,27,0,0,1,0,0.4650249937515621,0.08638184650191746,0.08638184650191746
ACC00013,0.2057488691869123,1.0,1.0,1.0,52.175180375180375,96,27,0,0,1,0,0.4575499750124938,0.2934784988895239,0.2934784988895239
ACC00065,0.301008873940788,1.0,1.0,1.0,18.659523809523808,2,27,0,0,1,0,0.4575499750124938,0.263762874496802,0.263762874496802
ACC00062,0.15,5.0,0.0,5.0,0.0,67,33,2,0,0,0,0.3075,1.0,1.0
ACC00066,0.15,5.0,0.0,5.0,0.0,2,27,1,0,0,0,0.2975,0.914243957708569,0.914243957708569
ACC00020,0.15,4.0,0.0,4.0,0.0,92,1,0,0,0,0,0.28,0.7213133104743483,0.7213133104743483
ACC00057,0.15,3.0,0.0,3.0,0.0,50,3,0,0,0,0,0.2724999999999999,0.7096264899178525,0.7096264899178525
ACC00032,0.9349062389584106,0.0,5.0,0.0,0.0,96,27,1,0,0,0,0.2599600079984003,0.9385518353368466,0.9385518353368466
